"ID","PointName","System","Device","PointType","TimeInterval","Unit","Source","Correction"
2400004,"NVE_ECP_500_B1nvoI4","Temperate Chilled Water Loop","TCHWPB_3","Status",1,"bin","Control",""
2400005,"NVE_ECP_500_B1nvoI5","Hot Water Loop","HotWaterLoop","SupplyTemp",1,"Degrees F","Sensor","DivBy10"
2400006,"NVE_ECP_500_B1nvoI6","Hot Water Loop","HotWaterLoop","ReturnTemp",1,"Degrees F","Sensor","DivBy10"
2400007,"NVE_ECP_500_B1nvoI7","Temperate Hot Water Loop","TempHotWaterLoop","SupplyTemp",1,"Degrees F","Sensor","DivBy10"
2400008,"NVE_ECP_500_B1nvoI8","Temperate Hot Water Loop","TempHotWaterLoop","ReturnTemp",1,"Degrees F","Sensor","DivBy10"
2400009,"NVE_ECP_500_B1nvoI9","Temperate Hot Water Loop","THWPB_3","Status",1,"bin","Control",""
2400010,"NVE_ECP_500_B1nvoI10","Temperate Hot Water Loop","THWPB_4","Status",1,"bin","Control",""
2400011,"NVE_ECP_500_B1nvoI11","Fan Coil Units","FC_B_3 (B66)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
2400012,"NVE_ECP_500_B1nvoI12","Fan Coil Units","FC_B_3","SupplyFanStatus",1,"bin","Control",""
2410013,"NVE_ECP_500_B1nvoI13","Fan Coil Units","FC_B_3","DischargeAirTemp",1,"Degrees F","Sensor","DivBy10"
2410014,"NVE_ECP_500_B1nvoI14","Hot Water Loop","HotWaterLoop","WaterFlowRate",1,"GPM","Sensor",""
2420001,"NVE_ECP_500_B1nvoO1","Temperate Chilled Water Loop","TempChilledWaterLoop","ValvePos",1,"%","Control",""
2420002,"NVE_ECP_500_B1nvoO2","Temperate Hot Water Loop","TempHotWaterLoop","ValvePos",1,"%","Control",""
2420003,"NVE_ECP_500_B1nvoO3","Fan Coil Units","FC_B_3","CoolCoilValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
2420004,"NVE_ECP_500_B1nvoO4","Fan Coil Units","FC_B_3","SupplyFanStartStop",1,"bin","Control",""
2430001,"NVE_EC_67_B1nvoI1","Fan Coil Units","FC_B_1 (B67)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
2430002,"NVE_EC_67_B1nvoI2","Fan Coil Units","FC_B_1","SupplyFanStatus",1,"bin","Control",""
2430003,"NVE_EC_67_B1nvoI3","Fan Coil Units","FC_B_1","DischargeAirTemp",1,"Degrees F","Sensor","DivBy10"
2430004,"NVE_EC_67_B1nvoI4","Fan Coil Units","FC_B_2 (B65)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
2430005,"NVE_EC_67_B1nvoI5","Fan Coil Units","FC_B_2","SupplyFanStatus",1,"bin","Control",""
2430006,"NVE_EC_67_B1nvoI6","Fan Coil Units","FC_B_2","DischargeAirTemp",1,"Degrees F","Sensor","DivBy10"
2440001,"NVE_EC_67_B2nvoI1","Fan Coil Units","FC_B_4 (B46)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
2440002,"NVE_EC_67_B2nvoI2","Fan Coil Units","FC_B_4","SupplyFanStatus",1,"bin","Control",""
2440003,"NVE_EC_67_B2nvoI3","Fan Coil Units","FC_B_4","DischargeAirTemp",1,"Degrees F","Sensor","DivBy10"
2440004,"NVE_EC_67_B2nvoI4","Fan Coil Units","FC_B_4 (B44)","SpaceTemp",1,"Degrees F","Sensor","DivBy10"
2450001,"NVE_EC_67_B2nvoO1","Fan Coil Units","FC_B_4","SupplyFanStartStop",1,"bin","Control",""
2450006,"NVE_EC_67_B2nvoO6","Fan Coil Units","FC_B_4","CoolCoilValvePos",1,"%","Control","DivBy4,MulBy5,Sub25"
2460001,"NVE_EC_67_B8nvoI1","Building","Fire Alarm","Test Fail",1,"","Control",""
